ACT_Int 70513.639750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.458875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.616750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.112625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.319125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.496750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.611000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.435750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.319125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 2.317750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.319125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 30.583500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.751125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.320625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 66.442000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.950500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.320625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 10.992750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.765375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.320625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 20.944125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.256750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.318500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.375625 current 259.291567,  charge =     0, alpha = 2422560000000000
