0.000000   100.000000   new 37048680802347.265625 98.470681 
35364607830117.625000 98.540197    new 315793721487.040588 99.986964 
35670241475935.296875 98.527581    new 315943308530.372803 99.986958 
35670391055101.945312 98.527575    new 316474948721.097534 99.986936 
35670925054353.679688 98.527552    new 316623867006.663330 99.986930 
35671074633309.039062 98.527546    new 316920452658.664246 99.986918 
35671371203770.507812 98.527534    new 317070039132.051758 99.986912 
35671520782728.203125 98.527528    new 317609176481.475708 99.986890 
35672062174909.617188 98.527506    new 317758360197.568115 99.986883 
35672212061527.914062 98.527499    new 317993422618.531006 99.986874 
35672449490376.828125 98.527490    new 318141151938.169678 99.986868 
35672599069493.570312 98.527483    new 318920258354.278870 99.986835 
35673380415938.992188 98.527451    new 319069408561.214600 99.986829 
35673529994795.281250 98.527445    new 319276205654.794434 99.986821 
35673737360220.257812 98.527436    new 319426173763.499023 99.986815 
35673887247080.828125 98.527430    new 320391597307.325073 99.986775 
35674852549009.359375 98.527390    new 320541503129.749512 99.986768 
35675002435650.562500 98.527384    new 331145564848.806702 99.986331 
35685605907084.453125 98.526946    new 331295143117.343994 99.986325 
35685755485913.703125 98.526940    new 331663110926.665649 99.986309 
35686126044942.195312 98.526925    new 331811644069.655518 99.986303 
35686275624043.039062 98.526919    new 332082301093.413513 99.986292 
35686546196923.960938 98.526908    new 332233089993.850403 99.986286 
35686696823260.187500 98.526901    new 377792099394.632874 99.984405 
35732253404249.140625 98.525021    new 377941686918.054932 99.984399 
35732402983098.578125 98.525015    new 378302373972.903809 99.984384 
35732766026202.093750 98.525000    new 378453028721.716370 99.984378 
35732916652524.343750 98.524994    new 383607081877.933716 99.984165 
35738070287171.242188 98.524781    new 383756607329.237305 99.984159 
35738219865973.093750 98.524775    new 384583521834.085693 99.984125 
35739046677826.179688 98.524740    new 384733119250.709717 99.984119 
35739196256679.929688 98.524734    new 385059462093.752136 99.984105 
35739522582993.156250 98.524721    new 385209048600.271240 99.984099 
35739672161931.062500 98.524715    new 385877499183.163208 99.984071 
35740341262520.750000 98.524687    new 386026932730.984375 99.984065 
35740490841090.367188 98.524681    new 386498554098.702209 99.984046 
35740964836539.984375 98.524661    new 386647696506.373779 99.984040 
35741114723435.062500 98.524655    new 387290415940.063416 99.984013 
35741759675175.359375 98.524629    new 387439784422.776611 99.984007 
35741909561922.218750 98.524622    new 437803538629.751221 99.981928 
35792270406947.117188 98.522543    new 437953124483.717041 99.981922 
35792419986101.695312 98.522537    new 438789494207.601562 99.981887 
35793256223338.226562 98.522503    new 438939096676.415771 99.981881 
35793405802135.359375 98.522497    new 439414494730.536987 99.981862 
35793881029489.257812 98.522477    new 439564127275.171387 99.981855 
35794030608308.992188 98.522471    new 447530407865.956238 99.981527 
35801996609751.320312 98.522142    new 447679991930.236572 99.981520 
35802146188655.226562 98.522136    new 448219334762.499878 99.981498 
35802687580761.171875 98.522113    new 448368582503.101807 99.981492 
35802837467678.843750 98.522107    new 448604624405.884338 99.981482 
35803073479564.734375 98.522098    new 448754211126.793701 99.981476 
35803223058129.945312 98.522091    new 573811966774.097900 99.976314 
35928276748660.398438 98.516929    new 573961550730.514893 99.976308 
35928426327538.101562 98.516923    new 579346181852.595947 99.976085 
35933811044194.867188 98.516701    new 579495758297.532227 99.976079 
35933960623176.335938 98.516695    new 580050596869.381104 99.976056 
35934515814607.671875 98.516672    new 580200080598.692383 99.976050 
35934665393631.648438 98.516666    new 580401561191.397949 99.976042 
35934868815987.359375 98.516657    new 580549962766.067383 99.976036 
35935018702625.554688 98.516651    new 580790704942.710693 99.976026 
35935259642940.125000 98.516641    new 580939912600.515381 99.976020 
35935409222011.093750 98.516635    new 626043898955.402222 99.974158 
35980513353438.023438 98.514773    new 626196134513.972534 99.974151 
35980665581251.460938 98.514767    new 626457835744.034302 99.974141 
35980927036187.781250 98.514756    new 626610207156.759521 99.974134 
35981079264013.570312 98.514750    new 627623777207.237427 99.974093 
35982090708229.937500 98.514708    new 627776324964.343994 99.974086 
