0.000000   100.000000   new 1567.099033 100.000000
1495.867209 100.000000   new 3532.662876 100.000000
5028.533561 100.000000   new 5028.533325 100.000000
6524.400697 100.000000   new 8016.581153 100.000000
9512.439772 100.000000   new 9512.455366 100.000000
11008.309512 100.000000   new 15022.786697 100.000000
16518.624871 100.000000   new 16521.735116 100.000000
18017.573092 100.000000   new 18918.326301 100.000000
20414.166294 100.000000   new 20414.192015 100.000000
21910.033439 100.000000   new 28282.900240 100.000000
29778.745153 100.000000   new 29778.766532 100.000000
31274.614748 100.000000   new 31856.886942 100.000000
33352.688361 100.000000   new 33355.831052 100.000000
34851.636541 100.000000   new 43105.525130 100.000000
44601.274166 100.000000   new 44604.485160 100.000000
46100.222367 100.000000   new 62086.064944 100.000000
63581.794890 100.000000   new 63581.935007 100.000000
65077.665319 100.000000   new 66292.152191 100.000000
67787.846776 100.000000   new 67788.038543 100.000000
69283.717190 100.000000   new 126395.013183 100.000000
127890.578165 100.000000   new 127890.885722 100.000000
129386.446030 100.000000   new 131519.060790 100.000000
133014.604659 100.000000   new 133025.308407 100.000000
134520.947137 100.000000   new 161552.157546 100.000000
163047.795891 100.000000   new 163048.024343 100.000000
164543.663551 100.000000   new 166746.418280 100.000000
168242.056775 100.000000   new 168252.642725 100.000000
169748.399099 100.000000   new 605388.099908 100.000000
606883.849801 100.000000   new 606883.966935 100.000000
608379.719960 100.000000   new 610515.625768 100.000000
612010.341947 100.000000   new 612021.959385 100.000000
613516.684171 100.000000   new 696226.210295 100.000000
697722.107740 100.000000   new 697722.076976 100.000000
699217.978345 100.000000   new 703839.460714 100.000000
705333.909074 100.000000   new 705335.686234 100.000000
706829.776799 100.000000   new 708599.119582 100.000000
710093.209597 100.000000   new 710094.986901 100.000000
711589.076503 100.000000   new 716786.699753 100.000000
718280.437690 100.000000   new 718282.646377 100.000000
719776.307095 100.000000   new 724993.853775 100.000000
726486.149066 100.000000   new 726493.034612 100.000000
727985.097261 100.000000   new 732944.078778 100.000000
734434.951798 100.000000   new 734443.306324 100.000000
735933.900185 100.000000   new 1195203.891673 100.000000
1196694.544351 100.000000   new 1196699.758201 100.000000
1198190.411117 100.000000   new 1205348.998483 100.000000
1206839.708293 100.000000   new 1206855.341098 100.000000
1208346.050274 100.000000   new 1214350.355723 100.000000
1215843.254943 100.000000   new 1215846.174239 100.000000
1217339.125172 100.000000   new 1219544.568177 100.000000
1221037.515232 100.000000   new 1221050.046184 100.000000
1222543.857609 100.000000   new 1260567.338585 100.000000
1262061.143085 100.000000   new 1262063.200566 100.000000
1263557.009774 100.000000   new 1268207.485464 100.000000
1269701.282560 100.000000   new 1269703.355366 100.000000
1271197.150017 100.000000   new 1274816.686549 100.000000
1276310.702921 100.000000   new 1276312.488209 100.000000
1277806.570259 100.000000   new 1355976.854187 100.000000
1357470.784223 100.000000   new 1357472.724124 100.000000
1358966.654163 100.000000   new 1362889.064210 100.000000
1364380.856951 100.000000   new 1364388.680482 100.000000
1365879.804809 100.000000   new 1366748.906847 100.000000
1368240.048786 100.000000   new 1368244.774056 100.000000
1369735.915580 100.000000   new 2605348.343703 100.000000
2606838.979302 100.000000   new 2606844.211504 100.000000
2608334.845799 100.000000   new 2658370.788447 100.000000
2659861.575274 100.000000   new 2659866.650545 100.000000
2661357.442485 100.000000   new 2665419.716506 100.000000
2666909.650523 100.000000   new 2666915.814743 100.000000
2668405.517045 100.000000   new 2668954.527680 100.000000
2670439.849174 100.000000   new 2670456.830940 100.000000
2671938.796767 100.000000   new 2672866.836217 100.000000
2674348.326854 100.000000   new 2674363.556635 100.000000
2675844.193954 100.000000   new 3113021.200661 100.000000
3114500.610619 100.000000   new 3114543.542863 100.000000
3116022.971269 100.000000   new 3117080.800897 100.000000
3118560.647640 100.000000   new 3118602.910592 100.000000
3120083.008394 100.000000   new 3121189.168397 100.000000
3122669.971238 100.000000   new 3122711.113840 100.000000
3124192.329174 100.000000   new 3134270.225788 100.000000
3135756.963718 100.000000   new 3135795.496731 100.000000
