interval 1128.643798   current 14668.827097   charge 364220440   soc 99.999985
interval 7984.584738   current 24.990176   charge 4195817   soc 100.000000
interval 0.004856   current 14668.827097   charge 4197313   soc 100.000000
interval 0.011468   current 14668.827097   charge 4200816   soc 100.000000
interval 0.004856   current 14668.827097   charge 4202300   soc 100.000000
interval 0.009700   current 14668.827097   charge 4205265   soc 100.000000
interval 0.004856   current 14668.827097   charge 4206749   soc 100.000000
interval 0.017888   current 14668.827097   charge 4212237   soc 100.000000
interval 0.004866   current 14668.827097   charge 4213736   soc 100.000000
interval 0.007780   current 14668.827097   charge 4216134   soc 100.000000
interval 0.004856   current 14668.827097   charge 4217631   soc 100.000000
interval 0.025544   current 14668.827097   charge 4225502   soc 100.000000
interval 0.004856   current 14668.827097   charge 4226998   soc 100.000000
interval 0.006746   current 14668.827097   charge 4229056   soc 100.000000
interval 0.004866   current 14668.827097   charge 4230556   soc 100.000000
interval 0.031650   current 14668.827097   charge 4240283   soc 100.000000
interval 0.004866   current 14668.827097   charge 4241778   soc 100.000000
interval 0.056750   current 14668.827097   charge 4259258   soc 100.000000
interval 0.004856   current 14668.827097   charge 4260753   soc 100.000000
interval 0.008798   current 14668.827097   charge 4263457   soc 100.000000
interval 0.004856   current 14668.827097   charge 4264949   soc 100.000000
interval 0.190254   current 14668.827097   charge 4323534   soc 100.000000
interval 0.004856   current 14668.827097   charge 4325029   soc 100.000000
interval 0.011778   current 14668.827097   charge 4328656   soc 100.000000
interval 0.004890   current 14668.827097   charge 4330172   soc 100.000000
interval 0.092606   current 14668.827097   charge 4358698   soc 100.000000
interval 0.004856   current 14668.827097   charge 4360194   soc 100.000000
interval 0.012006   current 14668.827097   charge 4363893   soc 100.000000
interval 0.004890   current 14668.827097   charge 4365408   soc 100.000000
interval 1.419062   current 14668.827097   charge 4802544   soc 100.000000
interval 0.004856   current 14668.827097   charge 4804040   soc 100.000000
interval 0.011786   current 14668.827097   charge 4807649   soc 100.000000
interval 0.004890   current 14668.827097   charge 4809156   soc 100.000000
interval 0.273354   current 14668.827097   charge 4893386   soc 100.000000
interval 0.004856   current 14668.827097   charge 4894881   soc 100.000000
interval 0.019854   current 14668.827097   charge 4900971   soc 100.000000
interval 0.004856   current 14668.827097   charge 4902461   soc 100.000000
interval 0.010594   current 14668.827097   charge 4905724   soc 100.000000
interval 0.004856   current 14668.827097   charge 4907220   soc 100.000000
interval 0.021722   current 14668.827097   charge 4913905   soc 100.000000
interval 0.004856   current 14668.827097   charge 4915400   soc 100.000000
interval 0.021782   current 14668.827097   charge 4922086   soc 100.000000
interval 0.004866   current 14668.827097   charge 4923581   soc 100.000000
interval 0.020938   current 14668.827097   charge 4930010   soc 100.000000
interval 0.004866   current 14668.827097   charge 4931505   soc 100.000000
interval 1.495756   current 14668.827097   charge 5392267   soc 100.000000
interval 0.004856   current 14668.827097   charge 5393763   soc 100.000000
interval 0.028078   current 14668.827097   charge 5402413   soc 100.000000
interval 0.004890   current 14668.827097   charge 5403919   soc 100.000000
interval 0.024338   current 14668.827097   charge 5411438   soc 100.000000
interval 0.004856   current 14668.827097   charge 5412935   soc 100.000000
interval 0.012006   current 14668.827097   charge 5416633   soc 100.000000
interval 0.004890   current 14668.827097   charge 5418148   soc 100.000000
interval 0.128284   current 14668.827097   charge 5457665   soc 100.000000
interval 0.004856   current 14668.827097   charge 5459161   soc 100.000000
interval 0.019946   current 14668.827097   charge 5465305   soc 100.000000
interval 0.004856   current 14668.827097   charge 5466801   soc 100.000000
interval 0.016600   current 14668.827097   charge 5471917   soc 100.000000
interval 0.004856   current 14668.827097   charge 5473413   soc 100.000000
interval 0.258612   current 14668.827097   charge 5553076   soc 100.000000
interval 0.004856   current 14668.827097   charge 5554572   soc 100.000000
interval 0.017576   current 14668.827097   charge 5559968   soc 100.000000
interval 0.004866   current 14668.827097   charge 5561461   soc 100.000000
interval 0.007662   current 14668.827097   charge 5563821   soc 100.000000
interval 0.004856   current 14668.827097   charge 5565317   soc 100.000000
interval 4.015978   current 14668.827097   charge 6802418   soc 100.000000
interval 0.004856   current 14668.827097   charge 6803913   soc 100.000000
interval 0.167270   current 14668.827097   charge 6855441   soc 100.000000
interval 0.004856   current 14668.827097   charge 6856937   soc 100.000000
interval 0.018024   current 14668.827097   charge 6862486   soc 100.000000
interval 0.004856   current 14668.827097   charge 6863981   soc 100.000000
interval 0.006604   current 14668.827097   charge 6865998   soc 100.000000
interval 0.004866   current 14668.827097   charge 6867483   soc 100.000000
interval 0.007822   current 14668.827097   charge 6869891   soc 100.000000
interval 0.004856   current 14668.827097   charge 6871384   soc 100.000000
interval 1.424000   current 14668.827097   charge 7310036   soc 100.000000
interval 0.004942   current 14668.827097   charge 7311558   soc 100.000000
interval 0.008238   current 14668.827097   charge 7314097   soc 100.000000
interval 0.004942   current 14668.827097   charge 7315621   soc 100.000000
interval 0.008398   current 14668.827097   charge 7318210   soc 100.000000
interval 0.004942   current 14668.827097   charge 7319734   soc 100.000000
interval 0.037542   current 14668.827097   charge 7331316   soc 100.000000
interval 0.004952   current 14668.827097   charge 7332842   soc 100.000000
interval 0.007780   current 14668.827097   charge 7335244   soc 100.000000
interval 0.004942   current 14668.827097   charge 7336779   soc 100.000000
interval 0.012220   current 14668.827097   charge 7340561   soc 100.000000
interval 0.004942   current 14668.827097   charge 7342091   soc 100.000000
interval 0.006748   current 14668.827097   charge 7344185   soc 100.000000
interval 0.004952   current 14668.827097   charge 7345711   soc 100.000000
interval 0.007662   current 14668.827097   charge 7348075   soc 100.000000
interval 0.004942   current 14668.827097   charge 7349609   soc 100.000000
interval 0.186026   current 14668.827097   charge 7406915   soc 100.000000
interval 0.004942   current 14668.827097   charge 7408438   soc 100.000000
